"Data Source","Transaction ID","Match ID","Status","Account ID","Alert ID","Alert Name","Alert Status","Created Date","Edited","Extract Status","Import Job ID","Journal Export Job ID","Match Process Name","Matched","Matched By","Matched On","Rule Name","Rule Type","Support ID","Support Type","Supported By","Supported On","Adjusted","Adjustment Type","Adjusted By","Adjusted On","Adjustment To","Location","Date","Amount","Reference","Memo1","Memo2","Bank Branch","Bank Main Branch","POS Memo","Pickup Date","Pickup Day","POS Memo2","Accounting Date","Adjustment Debit Account","LedgerID","Currency Code","Monthly Fee","Fee Amount","Approved By","Error Date","Adjustment Credit Account","Fee Type","Name","Category","ID","Description","Entity","Journal Source"
"GL","1016","9114","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10010","2017-08-22","1050","","","","","","NE-1:10010","","","","","","","","","","","","","","","","","","",""
"Pronto Sub","1026","9114","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10010","2017-08-22","1050","","","","","","NE-1:10010","2017-08-23","Wed","10010-08/22/2017-Wed","","","","","","","","","","","","","","","",""
"GL","1018","9115","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10010","2017-08-24","3150","","","","","","NE-1:10010","","","","","","","","","","","","","","","","","","",""
"Pronto Sub","1029","9115","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10010","2017-08-24","3150","","","","","","NE-1:10010","2017-08-25","Fri","10010-08/24/2017-Fri","","","","","","","","","","","","","","","",""
"GL","1021","9116","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10010","2017-08-29","1250","","","","","","NE-1:10010","","","","","","","","","","","","","","","","","","",""
"Pronto Sub","1034","9116","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10010","2017-08-29","1250","","","","","","NE-1:10010","2017-08-30","Wed","10010-08/29/2017-Wed","","","","","","","","","","","","","","","",""
"GL","1023","9117","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10010","2017-08-31","3700","","","","","","NE-1:10010","","","","","","","","","","","","","","","","","","",""
"Pronto Sub","1037","9117","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10010","2017-08-31","3700","","","","","","NE-1:10010","2017-09-01","Fri","10010-08/31/2017-Fri","","","","","","","","","","","","","","","",""
"GL","1024","9118","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10010","2017-09-01","5000","","","","","","NE-1:10010","","","","","","","","","","","","","","","","","","",""
"Pronto Sub","1038","9118","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10010","2017-09-01","5000","","","","","","NE-1:10010","2017-09-01","Fri","10010-09/01/2017-Fri","","","","","","","","","","","","","","","",""
"GL","1025","9119","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","50001","2017-07-31","175","","","","","","NE-5:50001","","","","","","","","","","","","","","","","","","",""
"Pronto Sub","1039","9119","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","50001","2017-07-31","175","","","","","","NE-5:50001","2017-08-01","Tue","50001-07/31/2017-Tue","","","","","","","","","","","","","","","",""
"GL","1027","9120","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","50001","2017-08-02","700","","","","","","NE-5:50001","","","","","","","","","","","","","","","","","","",""
"Pronto Sub","1042","9120","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","50001","2017-08-02","700","","","","","","NE-5:50001","2017-08-03","Thu","50001-08/02/2017-Thu","","","","","","","","","","","","","","","",""
"GL","1029","9121","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","50001","2017-08-04","1400","","","","","","NE-5:50001","","","","","","","","","","","","","","","","","","",""
"Pronto Sub","1045","9121","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","50001","2017-08-04","1400","","","","","","NE-5:50001","2017-08-08","Tue","50001-08/04/2017-Tue","","","","","","","","","","","","","","","",""
"GL","1030","9122","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","50001","2017-08-07","148.75","","","","","","NE-5:50001","","","","","","","","","","","","","","","","","","",""
"Pronto Sub","1046","9122","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","50001","2017-08-07","148.75","","","","","","NE-5:50001","2017-08-08","Tue","50001-08/07/2017-Tue","","","","","","","","","","","","","","","",""
"GL","1032","9123","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","50001","2017-08-09","595","","","","","","NE-5:50001","","","","","","","","","","","","","","","","","","",""
"Pronto Sub","1049","9123","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","50001","2017-08-09","595","","","","","","NE-5:50001","2017-08-10","Thu","50001-08/09/2017-Thu","","","","","","","","","","","","","","","",""
"GL","1034","9124","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","50001","2017-08-11","1190","","","","","","NE-5:50001","","","","","","","","","","","","","","","","","","",""
"Pronto Sub","1052","9124","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","50001","2017-08-11","1190","","","","","","NE-5:50001","2017-08-15","Tue","50001-08/11/2017-Tue","","","","","","","","","","","","","","","",""
"GL","1035","9125","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","50001","2017-08-14","140","","","","","","NE-5:50001","","","","","","","","","","","","","","","","","","",""
"Pronto Sub","1053","9125","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","50001","2017-08-14","140","","","","","","NE-5:50001","2017-08-15","Tue","50001-08/14/2017-Tue","","","","","","","","","","","","","","","",""
"GL","1037","9126","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","50001","2017-08-16","560","","","","","","NE-5:50001","","","","","","","","","","","","","","","","","","",""
"Pronto Sub","1056","9126","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","50001","2017-08-16","560","","","","","","NE-5:50001","2017-08-17","Thu","50001-08/16/2017-Thu","","","","","","","","","","","","","","","",""
"GL","1039","9127","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","50001","2017-08-18","1120","","","","","","NE-5:50001","","","","","","","","","","","","","","","","","","",""
"Pronto Sub","1059","9127","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","50001","2017-08-18","1120","","","","","","NE-5:50001","2017-08-22","Tue","50001-08/18/2017-Tue","","","","","","","","","","","","","","","",""
"GL","1040","9128","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","50001","2017-08-21","183.75","","","","","","NE-5:50001","","","","","","","","","","","","","","","","","","",""
"Pronto Sub","1060","9128","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","50001","2017-08-21","183.75","","","","","","NE-5:50001","2017-08-22","Tue","50001-08/21/2017-Tue","","","","","","","","","","","","","","","",""
"GL","1042","9129","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","50001","2017-08-23","735","","","","","","NE-5:50001","","","","","","","","","","","","","","","","","","",""
"Pronto Sub","1063","9129","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","50001","2017-08-23","735","","","","","","NE-5:50001","2017-08-24","Thu","50001-08/23/2017-Thu","","","","","","","","","","","","","","","",""
"GL","1044","9130","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","50001","2017-08-25","1470","","","","","","NE-5:50001","","","","","","","","","","","","","","","","","","",""
"Pronto Sub","1066","9130","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","50001","2017-08-25","1470","","","","","","NE-5:50001","2017-08-29","Tue","50001-08/25/2017-Tue","","","","","","","","","","","","","","","",""
"GL","1045","9131","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","50001","2017-08-28","218.75","","","","","","NE-5:50001","","","","","","","","","","","","","","","","","","",""
"Pronto Sub","1067","9131","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","50001","2017-08-28","218.75","","","","","","NE-5:50001","2017-08-29","Tue","50001-08/28/2017-Tue","","","","","","","","","","","","","","","",""
"GL","1047","9132","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","50001","2017-08-30","875","","","","","","NE-5:50001","","","","","","","","","","","","","","","","","","",""
"Pronto Sub","1070","9132","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","50001","2017-08-30","875","","","","","","NE-5:50001","2017-08-31","Thu","50001-08/30/2017-Thu","","","","","","","","","","","","","","","",""
"GL","1049","9133","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","50001","2017-09-01","1750","","","","","","NE-5:50001","","","","","","","","","","","","","","","","","","",""
"Pronto Sub","1073","9133","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","50001","2017-09-01","1750","","","","","","NE-5:50001","2017-09-05","Tue","50001-09/01/2017-Tue","","","","","","","","","","","","","","","",""
"GL","1051","9134","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10015","2017-08-01","950","","","","","","NE-1:10015","","","","","","","","","","","","","","","","","","",""
"Pronto Sub","1076","9134","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10015","2017-08-01","950","","","","","","NE-1:10015","2017-08-02","Wed","10015-08/01/2017-Wed","","","","","","","","","","","","","","","",""
"GL","1053","9135","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10015","2017-08-03","2850","","","","","","NE-1:10015","","","","","","","","","","","","","","","","","","",""
"Pronto Sub","1079","9135","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10015","2017-08-03","2850","","","","","","NE-1:10015","2017-08-04","Fri","10015-08/03/2017-Fri","","","","","","","","","","","","","","","",""
"GL","1056","9136","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10015","2017-08-08","807.5","","","","","","NE-1:10015","","","","","","","","","","","","","","","","","","",""
"Pronto Sub","1084","9136","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10015","2017-08-08","807.5","","","","","","NE-1:10015","2017-08-09","Wed","10015-08/08/2017-Wed","","","","","","","","","","","","","","","",""
"GL","1058","9137","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10015","2017-08-10","2422.5","","","","","","NE-1:10015","","","","","","","","","","","","","","","","","","",""
"Pronto Sub","1087","9137","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10015","2017-08-10","2422.5","","","","","","NE-1:10015","2017-08-11","Fri","10015-08/10/2017-Fri","","","","","","","","","","","","","","","",""
"GL","1061","9138","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10015","2017-08-15","760","","","","","","NE-1:10015","","","","","","","","","","","","","","","","","","",""
"Pronto Sub","1092","9138","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10015","2017-08-15","760","","","","","","NE-1:10015","2017-08-16","Wed","10015-08/15/2017-Wed","","","","","","","","","","","","","","","",""
"GL","1063","9139","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10015","2017-08-17","2280","","","","","","NE-1:10015","","","","","","","","","","","","","","","","","","",""
"Pronto Sub","1095","9139","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10015","2017-08-17","2280","","","","","","NE-1:10015","2017-08-18","Fri","10015-08/17/2017-Fri","","","","","","","","","","","","","","","",""
"GL","1066","9140","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10015","2017-08-22","997.5","","","","","","NE-1:10015","","","","","","","","","","","","","","","","","","",""
"Pronto Sub","1100","9140","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10015","2017-08-22","997.5","","","","","","NE-1:10015","2017-08-23","Wed","10015-08/22/2017-Wed","","","","","","","","","","","","","","","",""
"GL","1068","9141","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10015","2017-08-24","2992.5","","","","","","NE-1:10015","","","","","","","","","","","","","","","","","","",""
"Pronto Sub","1103","9141","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10015","2017-08-24","2992.5","","","","","","NE-1:10015","2017-08-25","Fri","10015-08/24/2017-Fri","","","","","","","","","","","","","","","",""
"GL","1071","9142","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10015","2017-08-29","1187.5","","","","","","NE-1:10015","","","","","","","","","","","","","","","","","","",""
"Pronto Sub","1108","9142","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10015","2017-08-29","1187.5","","","","","","NE-1:10015","2017-08-30","Wed","10015-08/29/2017-Wed","","","","","","","","","","","","","","","",""
"GL","1073","9143","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10015","2017-08-31","3515","","","","","","NE-1:10015","","","","","","","","","","","","","","","","","","",""
"Pronto Sub","1111","9143","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10015","2017-08-31","3515","","","","","","NE-1:10015","2017-09-01","Fri","10015-08/31/2017-Fri","","","","","","","","","","","","","","","",""
"GL","1074","9144","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10015","2017-09-01","4750","","","","","","NE-1:10015","","","","","","","","","","","","","","","","","","",""
"Pronto Sub","1112","9144","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10015","2017-09-01","4750","","","","","","NE-1:10015","2017-09-01","Fri","10015-09/01/2017-Fri","","","","","","","","","","","","","","","",""
"GL","1076","9145","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10017","2017-08-01","980","","","","","","NE-1:10017","","","","","","","","","","","","","","","","","","",""
